Order	priority	region	ID	population	family	individual	FlowAfterGermFlAG	FlAGVernTimeExcluded	FlAGVernTime14d	FloweringafterbackshiftinLD	Flowering_binominal	duration	still_flowering_at_end	use_for_duration
80	1	F	F1-GAL-119-2	F1GAL	119	2	149	52	66	18	1	123	272	0
81	1	F	F1-GAL-122-1	F1GAL	122	1	149	52	66	18	1	123	272	0
82	1	F	F1-GAL-122-2	F1GAL	122	2	151	54	68	20	1	121	272	0
83	1	F	F1-GAL-132-1	F1GAL	132	1	149	52	66	18	1	123	272	0
84	1	F	F1-GAL-132-2	F1GAL	132	2	149	52	66	18	1	123	272	0
85	1	F	F1-GAL-139-2	F1GAL	139	2	146	49	63	15	1	126	272	0
86	1	F	F1-GAL-16b-1	F1GAL	16b	1	149	52	66	18	1	123	272	0
87	1	F	F1-GAL-16b-2	F1GAL	16b	2	151	54	68	20	1	121	272	0
88	1	F	F1-GAL-20-1	F1GAL	20	1	146	49	63	15	1	126	272	0
89	1	F	F1-GAL-20-2	F1GAL	20	2	149	52	66	18	1	123	272	0
90	1	F	F1-GAL-33-5_s-1	F1GAL	33-5_s	1	146	49	63	15	1	126	272	0
91	1	F	F1-GAL-33-5-s_2	F1GAL	33-5_s	2	149	52	66	18	1	123	272	0
92	1	F	F1-GAL-37-1	F1GAL	37	1	149	52	66	18	1	123	272	0
93	1	F	F1-GAL-37-2	F1GAL	37	2	149	52	66	18	1	123	272	0
94	1	F	F1-GAL-3b-1	F1GAL	3b	1	144	47	61	13	1	128	272	0
95	1	F	F1-GAL-3b-2	F1GAL	3b	2	144	47	61	13	1	128	272	0
96	1	F	F1-GAL-401-2	F1GAL	401	2	151	54	68	20	1	121	272	0
97	1	F	F1-GAL-5-5_s-1	F1GAL	5-5_s	1	144	47	61	13	1	128	272	0
98	1	F	F1-GAL-5-5_s-2	F1GAL	5-5_s	2	146	49	63	15	1	126	272	0
99	1	F	F1-GAL-78-1	F1GAL	78	1	177	80	94	46	1	95	272	0
100	1	F	F1-GAL-78-2	F1GAL	78	2	149	52	66	18	1	123	272	0
101	1	F	F1-GAL-79-1	F1GAL	79	1	149	52	66	18	1	123	272	0
102	1	F	F1-GAL-79-2	F1GAL	79	2	146	49	63	15	1	126	272	0
103	1	F	F1-GAL-97b-1	F1GAL	97b	1	149	52	66	18	1	123	272	0
104	1	F	F1-GAL-97b-2	F1GAL	97b	2	144	47	61	13	1	128	272	0
105	1	F	F1-GAL-98.1-1	F1GAL	98.1	1	146	49	63	15	1	126	272	0
106	1	F	F1-GAL-98.1-2	F1GAL	98.1	2	144	47	61	13	1	128	272	0
107	1	F	F1-GAL-S14-1	F1GAL	S14	1	144	47	61	13	1	128	272	0
108	1	F	F1-GAL-S14-2	F1GAL	S14	2	144	47	61	13	1	128	272	0
109	1	F	F1-GAL-S17-1	F1GAL	S17	1	184	87	101	53	1	88	272	0
110	1	F	F1-GAL-S17-2	F1GAL	S17	2	144	47	61	13	1	128	272	0
111	1	F	F1-GAL-S20-1_s-1	F1GAL	S20-1_s	1	144	47	61	13	1	128	272	0
112	1	F	F1-GAL-S20-1_s-2	F1GAL	S20-1_s	2	144	47	61	13	1	128	272	0
